class,coverage,stride,accuracy,n_samples
SalsaSpin,75,1,0.953095684803002,533
ShavingBeard,75,1,0.9394409937888198,644
Shotput,75,1,0.7712765957446809,188
SkateBoarding,75,1,0.9416058394160584,274
Skiing,75,1,0.9071969696969696,528
Skijet,75,1,0.7534562211981567,434
SkyDiving,75,1,0.967032967032967,364
SoccerJuggling,75,1,0.901985111662531,806
SoccerPenalty,75,1,1.0,189
StillRings,75,1,0.8603351955307262,358
SumoWrestling,75,1,0.9728395061728397,405
Surfing,75,1,0.8228699551569507,446
Swing,75,1,0.9925,400
TableTennisShot,75,1,0.9925925925925926,405
TaiChi,75,1,0.9650793650793652,315
TennisSwing,75,1,0.9613636363636364,440
ThrowDiscus,75,1,0.898936170212766,188
TrampolineJumping,75,1,0.979683972911964,443
Typing,75,1,0.9959183673469388,490
UnevenBars,75,1,0.8089887640449438,267
VolleyballSpiking,75,1,0.9481132075471698,212
WalkingWithDog,75,1,0.9528907922912204,467
WallPushups,75,1,0.9786324786324786,234
WritingOnBoard,75,1,1.0,423
YoYo,75,1,0.9722222222222222,396
ApplyEyeMakeup,100,1,0.9515738498789348,413
ApplyLipstick,100,1,0.9883040935672516,342
Archery,100,1,0.9800995024875622,402
BabyCrawling,100,1,0.9893048128342246,374
BalanceBeam,100,1,0.8767772511848341,211
BandMarching,100,1,0.8452173913043478,575
BaseballPitch,100,1,0.9393939393939394,231
Basketball,100,1,0.9381107491856676,307
BasketballDunk,100,1,0.965034965034965,143
BenchPress,100,1,1.0,304
Biking,100,1,0.9853211009174312,545
Billiards,100,1,0.9922779922779924,777
BlowDryHair,100,1,0.9165120593692022,539
BlowingCandles,100,1,0.988826815642458,179
BodyWeightSquats,100,1,0.950207468879668,241
Bowling,100,1,0.9871794871794872,312
BoxingPunchingBag,100,1,0.9963768115942028,552
BoxingSpeedBag,100,1,1.0,570
BreastStroke,100,1,0.9716088328075708,317
BrushingTeeth,100,1,0.8566610455311973,593
CleanAndJerk,100,1,0.9728260869565216,368
CliffDiving,100,1,0.953216374269006,171
CricketBowling,100,1,0.9754901960784312,204
CricketShot,100,1,0.9279661016949152,236
CuttingInKitchen,100,1,0.9845201238390092,323
Diving,100,1,0.9581497797356828,454
Drumming,100,1,0.996742671009772,921
Fencing,100,1,0.9956521739130436,230
FieldHockeyPenalty,100,1,0.9742489270386266,233
FloorGymnastics,100,1,0.8451612903225807,310
FrisbeeCatch,100,1,0.9485714285714286,175
FrontCrawl,100,1,0.9824561403508772,399
GolfSwing,100,1,0.9922279792746114,386
Haircut,100,1,0.8691099476439791,382
HammerThrow,100,1,0.9191011235955056,445
Hammering,100,1,0.9733333333333334,300
HandstandPushups,100,1,0.9958677685950412,242
HandstandWalking,100,1,0.896875,320
HeadMassage,100,1,0.9764453961456104,467
HighJump,100,1,0.5441860465116279,215
HorseRace,100,1,0.951304347826087,575
HorseRiding,100,1,0.9855855855855856,555
HulaHoop,100,1,0.9896907216494846,194
IceDancing,100,1,0.951657458563536,724
JavelinThrow,100,1,0.9005524861878453,181
JugglingBalls,100,1,0.9835466179159048,547
